Name,URL,Quantity
222,http://www.digikey.ca/product-search/en/discrete-semiconductor-products/fets-single/1376381?FV=fff40015%2Cfff8007d&mnonly=0&newproducts=0&ColumnSort=0&page=1&stock=0&pbfree=0&rohs=0&k=&quantity=100&ptm=0&fid=0&pageSize=500,4
def,http://www.digikey.ca/product-search/en?keywords=568-2263-1-ND,5
111,http://www.digikey.ca/product-search/en/cable-assemblies/solid-state-lighting-cables/1574120,2
ffdd,http://www.digikey.ca/product-detail/en/0688014227/WM9593-ND/3880993,1
ddee,http://www.digikey.ca/product-detail/en/2213362-3/A118882-ND/4840462,1
333,http://www.digikey.ca/product-search/en/capacitors/film-capacitors/131088?k=&FV=fff40002%2Cfff80010&mnonly=0&newproducts=0&ColumnSort=0&page=1&stock=1&quantity=0&ptm=0&fid=0&pageSize=500,1
222,http://www.digikey.ca/product-search/en/capacitors/film-capacitors/131088,7
dsdss,http://www.digikey.ca/product-detail/en/R82DC3100DQ50J/399-5444-3-ND/1930798,9
dede,http://www.digikey.ca/product-detail/en/ECH-U1C471GX5/PCF1449CT-ND/431706,4
323,http://www.digikey.ca/product-search/en/integrated-circuits-ics/logic-shift-registers/2556326?k=hc595,2
fferer,"http://www.digikey.ca/product-detail/en/74HC595PW,118/568-2263-2-ND/946653",1
