"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Series","Number of LABs/CLBs","Number of Logic Elements/Cells","Total RAM Bits","Number of I/O","Number of Gates","Voltage - Supply","Mounting Type","Operating Temperature","Package / Case","Supplier Device Package"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/iCE/iCE40LPHXFamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/MFG_iCE40%20Blue.jpg","220-1564-ND","ICE40LP1K-CM36","Lattice Semiconductor Corporation","IC FPGA 25 I/O 36CBGA",751,0,"4.71310",100,1,"LP","160","1280","65536","25","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","36-VFBGA","36-UCBGA (2.5x2.5)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/iCE/iCE40LPHXFamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/ICE40LP1K-QN84.JPG","220-1561-ND","ICE40LP1K-QN84","Lattice Semiconductor Corporation","IC FPGA 67 I/O 84QFN",806,0,"5.14660",100,1,"LP","160","1280","65536","67","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","84-VFQFN Exposed Pad","84-QFN (7x7)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/iCE/iCE40LPHXFamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/ICE40LP1K-CB81.JPG","220-2622-ND","ICE40LP1K-CB81","Lattice Semiconductor Corporation","IC FPGA 62 I/O 81CSBGA",698,0,"5.61800",100,1,"LP","160","1280","65536","62","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","81-VFBGA","81-CSBGA (5x5)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/iCE/iCE40LPHXFamilyDataSheet.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","220-1565-ND","ICE40HX1K-TQ144","Lattice Semiconductor Corporation","IC FPGA 96 I/O 144TQFP",509,0,"6.82450",100,1,"HX","160","1280","65536","96","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/iCE/iCE40LPHXFamilyDataSheet.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","220-1572-ND","ICE40HX4K-TQ144","Lattice Semiconductor Corporation","IC FPGA 107 I/O 144TQFP",400,0,"8.29490",100,1,"HX","440","3520","81920","107","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1592-ND","XC3S50A-4VQG100C","Xilinx Inc.","IC FPGA 68 I/O 100VQFP",2804,0,"12.02000",100,1,"Spartan®-3A","176","1584","55296","68","50000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 85°C","100-TQFP","100-VQFP (14x14)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1593-ND","XC3S50A-4VQG100I","Xilinx Inc.","IC FPGA 68 I/O 100VQFP",680,0,"13.80000",100,1,"Spartan®-3A","176","1584","55296","68","50000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","100-TQFP","100-VQFP (14x14)"
"http://www.xilinx.com/support/documentation/data_sheets/ds001.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1309-ND","XC2S15-5VQG100C","Xilinx Inc.","IC FPGA 60 I/O 100VQFP",333,0,"13.80000",100,1,"Spartan®-II","96","432","16384","60","15000","2.375 V ~ 2.625 V","Surface Mount","0°C ~ 85°C","100-TQFP","100-VQFP (14x14)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/iCE/iCE40LPHXFamilyDataSheet.pdf","http://media.digikey.com/Renders/Lattice%20Semi%20Corp%20Renders/CB132.jpg","220-1577-ND","ICE40HX8K-CB132","Lattice Semiconductor Corporation","IC FPGA 95 I/O 132CBGA",261,0,"11.59400",100,1,"HX","960","7680","131072","95","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","132-LFBGA, CSPBGA","132-CSPBGA (8x8)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1541-ND","XC3S50A-4TQG144C","Xilinx Inc.","IC FPGA 108 I/O 144TQFP",140,0,"16.20000",100,1,"Spartan®-3A","176","1584","55296","108","50000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
