"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Color","CCT (K)","Flux @ 85°C, Current - Test","Flux @ 25°C, Current - Test","Current - Test","Voltage - Forward (Vf) (Typ)","Lumens/Watt @ Current - Test","CRI (Color Rendering Index)","Current - Max","Viewing Angle","Mounting Type","Package / Case"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201504/Data_Sheet_LM561B_Rev.8.0.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1032-1-ND","SPMWHT541MD5WAR0S3","Samsung Semiconductor, Inc.","LED LM561B COOL WHITE 5000K 4SMD",49073,0,"0.18134",2000,1,"Cut Tape (CT)","LM561B","White, Cool","5000K","-","32 lm (31 lm ~ 33 lm)","65mA","2.95V","167 lm/W","80","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201504/Data_Sheet_LM561B_Rev.8.0.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1032-6-ND","SPMWHT541MD5WAR0S3","Samsung Semiconductor, Inc.","LED LM561B COOL WHITE 5000K 4SMD",49073,0,"Calculate",2000,1,"Digi-Reel®","LM561B","White, Cool","5000K","-","32 lm (31 lm ~ 33 lm)","65mA","2.95V","167 lm/W","80","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201504/Data_Sheet_LM561B_Rev.8.0.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1033-1-ND","SPMWHT541MD5WARMS3","Samsung Semiconductor, Inc.","LED LM561B COOL WHITE 5000K 4SMD",51580,0,"0.18922",2000,1,"Cut Tape (CT)","LM561B","White, Cool","5000K","-","32 lm (31 lm ~ 33 lm)","65mA","2.95V","167 lm/W","80","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201504/Data_Sheet_LM561B_Rev.8.0.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1033-6-ND","SPMWHT541MD5WARMS3","Samsung Semiconductor, Inc.","LED LM561B COOL WHITE 5000K 4SMD",51580,0,"Calculate",2000,1,"Digi-Reel®","LM561B","White, Cool","5000K","-","32 lm (31 lm ~ 33 lm)","65mA","2.95V","167 lm/W","80","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201402/Data_Sheet_LM561B_High_CRI_Rev.001.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1041-1-ND","SPMWHT541MD7WATMS0","Samsung Semiconductor, Inc.","LED LM561B NEU WHITE 4000K 4SMD",13696,0,"0.19711",2000,1,"Cut Tape (CT)","LM561B","White, Neutral","4000K","-","26 lm (23 lm ~ 29 lm)","65mA","2.95V","136 lm/W","90","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201402/Data_Sheet_LM561B_High_CRI_Rev.001.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1041-6-ND","SPMWHT541MD7WATMS0","Samsung Semiconductor, Inc.","LED LM561B NEU WHITE 4000K 4SMD",13696,0,"Calculate",2000,1,"Digi-Reel®","LM561B","White, Neutral","4000K","-","26 lm (23 lm ~ 29 lm)","65mA","2.95V","136 lm/W","90","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1A(1075).pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1A-WKW-CXAYB153.JPG","CLA1A-WKW-CXAYB153TR-ND","CLA1A-WKW-CXAYB153","Cree Inc.","LED COOL WHITE 5500K 72CRI 4LCC",26000,0,"0.20607",2000,2000,"Tape & Reel (TR)","-","White, Cool","5500K","-","7 lm (Typ)","30mA","3.6V","65 lm/W","72 (Typ)","35mA","-","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1A(1075).pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1A-WKW-CXAYB153.JPG","CLA1A-WKW-CXAYB153CT-ND","CLA1A-WKW-CXAYB153","Cree Inc.","LED COOL WHITE 5500K 72CRI 4LCC",27407,0,"0.22846",2000,1,"Cut Tape (CT)","-","White, Cool","5500K","-","7 lm (Typ)","30mA","3.6V","65 lm/W","72 (Typ)","35mA","-","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1A(1075).pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1A-WKW-CXAYB153.JPG","CLA1A-WKW-CXAYB153DKR-ND","CLA1A-WKW-CXAYB153","Cree Inc.","LED COOL WHITE 5500K 72CRI 4LCC",27407,0,"Calculate",2000,1,"Digi-Reel®","-","White, Cool","5500K","-","7 lm (Typ)","30mA","3.6V","65 lm/W","72 (Typ)","35mA","-","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Renders/Cree%20Renders/CLA1B-WKW.jpg","CLA1B-WKW-XD0F0E13TR-ND","CLA1B-WKW-XD0F0E13","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",44000,0,"0.25236",2000,2000,"Tape & Reel (TR)","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Renders/Cree%20Renders/CLA1B-WKW.jpg","CLA1B-WKW-XD0F0E13CT-ND","CLA1B-WKW-XD0F0E13","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",44973,0,"0.27923",2000,1,"Cut Tape (CT)","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Renders/Cree%20Renders/CLA1B-WKW.jpg","CLA1B-WKW-XD0F0E13DKR-ND","CLA1B-WKW-XD0F0E13","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",44973,0,"Calculate",2000,1,"Digi-Reel®","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1B-WKW-XD0F0E33.JPG","CLA1B-WKW-XD0F0E33TR-ND","CLA1B-WKW-XD0F0E33","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",22000,0,"0.25236",2000,2000,"Tape & Reel (TR)","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1B-WKW-XD0F0E33.JPG","CLA1B-WKW-XD0F0E33CT-ND","CLA1B-WKW-XD0F0E33","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",23679,0,"0.27923",2000,1,"Cut Tape (CT)","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1B-WKW-XD0F0E33.JPG","CLA1B-WKW-XD0F0E33DKR-ND","CLA1B-WKW-XD0F0E33","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",23679,0,"Calculate",2000,1,"Digi-Reel®","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.qt-brightek.com/datasheet/QBHP686-IWK-XX.pdf","http://media.digikey.com/Photos/QT%20Brightek%20Photos/MFG_QBHP686-IWK-XX.jpg","1516-1050-2-ND","QBHP686-IWK-CW","QT Brightek (QTB)","LED COOL WHITE 6020K 80CRI 2PLCC",8000,0,"0.26878",2000,2000,"Tape & Reel (TR)","-","White, Cool","6020K (5300K ~ 7050K)","-","19 lm (Typ)","60mA","3.2V","99 lm/W","80","75mA","-","Surface Mount","2-PLCC"
"http://www.qt-brightek.com/datasheet/QBHP686-IWK-XX.pdf","http://media.digikey.com/Photos/QT%20Brightek%20Photos/MFG_QBHP686-IWK-XX.jpg","1516-1050-1-ND","QBHP686-IWK-CW","QT Brightek (QTB)","LED COOL WHITE 6020K 80CRI 2PLCC",11870,0,"0.33150",2000,1,"Cut Tape (CT)","-","White, Cool","6020K (5300K ~ 7050K)","-","19 lm (Typ)","60mA","3.2V","99 lm/W","80","75mA","-","Surface Mount","2-PLCC"
"http://www.qt-brightek.com/datasheet/QBHP686-IWK-XX.pdf","http://media.digikey.com/Photos/QT%20Brightek%20Photos/MFG_QBHP686-IWK-XX.jpg","1516-1050-6-ND","QBHP686-IWK-CW","QT Brightek (QTB)","LED COOL WHITE 6020K 80CRI 2PLCC",11870,0,"Calculate",2000,1,"Digi-Reel®","-","White, Cool","6020K (5300K ~ 7050K)","-","19 lm (Typ)","60mA","3.2V","99 lm/W","80","75mA","-","Surface Mount","2-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMLB.pdf","http://media.digikey.com/Photos/Cree%20Photos/ML-B.jpg","MLBAWT-A1-0000-000WE3TR-ND","MLBAWT-A1-0000-000WE3","Cree Inc.","LED XLAMP COOL WHITE 5000K 4SMD",23800,0,"0.29864",2800,1400,"Tape & Reel (TR)","XLamp® ML-B","White, Cool","5000K","-","27 lm (24 lm ~ 31 lm)","80mA","3.3V","102 lm/W","75 (Typ)","175mA","120°","Surface Mount","4-SMD, J-Lead Exposed Pad"
