"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Type","Number of Positions or Pins (Grid)","Pitch - Mating","Contact Finish - Mating","Contact Finish Thickness - Mating","Contact Material - Mating","Mounting Type","Features","Termination","Pitch - Post","Contact Finish - Post","Contact Finish Thickness - Post","Contact Material - Post","Housing Material","Operating Temperature"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A08-LC-TT-R.jpg","AE9986-ND","A08-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 8POS TIN",99365,0,"0.17860",100,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","8 (2 x 4)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A14-LC-TT-R.jpg","AE9989-ND","A14-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 14POS TIN",20676,0,"0.21740",100,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","14 (2 x 7)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A16-LC-TT-R.jpg","AE9992-ND","A16-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 16POS TIN",33825,0,"0.24460",100,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","16 (2 x 8)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A18-LC-TT-R.jpg","AE9995-ND","A18-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 18POS TIN",22364,0,"0.27070",100,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","18 (2 x 9)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A20-LC-TT-R.jpg","AE9998-ND","A20-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 20POS TIN",36056,0,"0.28540",100,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","20 (2 x 10)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://media.digikey.com/pdf/Data%20Sheets/On%20Shore%20PDFs/EDXXXDT_Dwg.pdf","http://media.digikey.com/Photos/On%20Shore%20Technology%20Photos/ED281DT.JPG","ED3050-5-ND","ED281DT","On Shore Technology Inc.","CONN IC DIP SOCKET 28POS TIN",5359,0,"0.32930",100,1,"Tube","ED","DIP, 0.3"" (7.62mm) Row Spacing","28 (2 x 14)","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Polybutylene Terephthalate (PBT), Glass Filled","-55°C ~ 110°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A28-LC-TT-R.jpg","AE10004-ND","A28-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 28POS TIN",11822,0,"0.41710",100,1,"Tube","-","DIP, 0.6"" (15.24mm) Row Spacing","28 (2 x 14)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://multimedia.3m.com/mws/mediawebserver?66666UuZjcFSLXTt4X&Em8&aEVuQEcuZgVs6EVs6E666666--","http://media.digikey.com/photos/3M%20Photos/4816-3000-CP.jpg","3M5463-ND","4816-3000-CP","3M","CONN IC DIP SOCKET 16POS TIN",7150,0,"0.48080",100,1,"Tube","4800","DIP, 0.3"" (7.62mm) Row Spacing","16 (2 x 8)","0.100"" (2.54mm)","Tin","35µin (0.90µm)","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","35µin (0.90µm)","Phosphor Bronze","Polyester, Glass Filled","-25°C ~ 85°C"
"http://media.digikey.com/pdf/Data%20Sheets/On%20Shore%20PDFs/EDXXXDT_Dwg.pdf","http://media.digikey.com/Photos/On%20Shore%20Technology%20Photos/ED40DT.JPG","ED3048-5-ND","ED40DT","On Shore Technology Inc.","CONN IC DIP SOCKET 40POS TIN",12683,0,"0.46830",100,1,"Tube","ED","DIP, 0.6"" (15.24mm) Row Spacing","40 (2 x 20)","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Polybutylene Terephthalate (PBT), Glass Filled","-55°C ~ 110°C"
"http://assmann.us/specs/AR-xx-x_x.pdf","http://media.digikey.com/photos/Assmann%20Photos/AR08-HZL-TT-R.jpg","AE10011-ND","AR-08-HZL-TT","Assmann WSW Components","CONN IC DIP SOCKET 8POS TIN",39580,0,"0.53580",100,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","8 (2 x 4)","0.100"" (2.54mm)","Tin","-","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Beryllium Copper","Thermoplastic, Polyester","-40°C ~ 105°C"
"http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2199299&DocType=Customer+Drawing&DocLang=English","http://media.digikey.com/Photos/TE%20Connectivity/1-2199299-2.JPG","A120354-ND","1-2199299-2","TE Connectivity AMP Connectors","28P,DIP SKT,600 CL,LDR,PB FREE",5216,0,"0.79140",100,1,"Bulk","Diplomate DL","DIP, 0.6"" (15.24mm) Row Spacing","28 (2 x 14)","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Nickel","Polybutylene Terephthalate (PBT), Glass Filled","-40°C ~ 105°C"
"http://www.on-shore.com/sites/default/files/manuals/SAXXX0X0.pdf","http://media.digikey.com/Photos/On%20Shore%20Technology%20Photos/SA143000.JPG","ED3014-ND","SA143000","On Shore Technology Inc.","CONN IC DIP SOCKET 14POS GOLD",4261,0,"0.77270",100,1,"Tube","SA","DIP, 0.3"" (7.62mm) Row Spacing","14 (2 x 7)","0.100"" (2.54mm)","Gold","Flash","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Gold","200µin (5.08µm)","Brass","Thermoplastic, Polyester, Glass Filled","-40°C ~ 105°C"
"http://www.mill-max.com/assets/pdfs/090.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/110-44-308-41-001000.jpg","ED90048-ND","110-44-308-41-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 8POS TIN",12570,0,"0.51930",100,1,"Tube","110","DIP, 0.3"" (7.62mm) Row Spacing","8 (2 x 4)","0.100"" (2.54mm)","Tin","100µin (2.54µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.on-shore.com/sites/default/files/manuals/SAXXX0X0.pdf","http://media.digikey.com/Photos/On%20Shore%20Technology%20Photos/SA163000.JPG","ED3016-ND","SA163000","On Shore Technology Inc.","CONN IC DIP SOCKET 16POS GOLD",3047,0,"0.84430",100,1,"Tube","SA","DIP, 0.3"" (7.62mm) Row Spacing","16 (2 x 8)","0.100"" (2.54mm)","Gold","Flash","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Gold","200µin (5.08µm)","Brass","Thermoplastic, Polyester, Glass Filled","-40°C ~ 105°C"
