"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Features","Number of Channels","FIFO's","Protocol","Voltage - Supply","With Parallel Port","With Auto Flow Control","With IrDA Encoder/Decoder","With False Start Bit Detection","With Modem Control","With CMOS","Mounting Type","Package / Case","Supplier Device Package"
"http://www.ti.com/lit/ds/symlink/tl16c550c.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg","296-1787-1-ND","TL16C550CPTR","Texas Instruments","IC ASYNC COMM ELEMENT 48-LQFP",5093,10000,"3.86844",500,1,"Cut Tape (CT)","-","False-start Bit Detection","1, UART","16 Byte","-","3.3V, 5V","-","Yes","-","Yes","Yes","-","Surface Mount","48-LQFP","48-LQFP (7x7)"
"http://www.ti.com/lit/ds/symlink/tl16c550c.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg","296-1787-6-ND","TL16C550CPTR","Texas Instruments","IC ASYNC COMM ELEMENT 48-LQFP",5093,10000,"Calculate",500,1,"Digi-Reel®","-","False-start Bit Detection","1, UART","16 Byte","-","3.3V, 5V","-","Yes","-","Yes","Yes","-","Surface Mount","48-LQFP","48-LQFP (7x7)"
"http://www.ti.com/lit/ds/symlink/tl16c752b.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg","296-26706-1-ND","TL16C752BPTR","Texas Instruments","IC DUAL UART 3.3V W/FIFO 48-LQFP",3783,10001,"5.64306",500,1,"Cut Tape (CT)","-","False-start Bit Detection","2, DUART","64 Byte","-","2.7 V ~ 3.6 V","-","Yes","-","Yes","Yes","-","Surface Mount","48-LQFP","48-LQFP (7x7)"
"http://www.ti.com/lit/ds/symlink/tl16c752b.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg","296-26706-6-ND","TL16C752BPTR","Texas Instruments","IC DUAL UART 3.3V W/FIFO 48-LQFP",3783,10001,"Calculate",500,1,"Digi-Reel®","-","False-start Bit Detection","2, DUART","64 Byte","-","2.7 V ~ 3.6 V","-","Yes","-","Yes","Yes","-","Surface Mount","48-LQFP","48-LQFP (7x7)"
"http://datasheets.maximintegrated.com/en/ds/MAX3109.pdf","http://media.digikey.com/renders/Maxim%20Renders/25-WLP_21-0180A.jpg","MAX3109ETJ+-ND","MAX3109ETJ+","Maxim Integrated","IC UART DUAL 32-TQFN",1135,6060,"9.51940",500,1,"","*","","","","","","","","","","","","","",""
"http://www.nxp.com/documents/data_sheet/SC26C92.pdf","http://media.digikey.com/Renders/Allegro%20Microsystems%20Renders/44-LCC%20(J-Lead).jpg","568-1113-5-ND","SC26C92C1A,512","NXP Semiconductors","IC UART DUAL W/FIFO 44-PLCC",1282,0,"7.40642",500,1,"Tube","-","Transceiver","2, DUART","8 Byte","-","5V","-","Yes","-","Yes","Yes","Yes","Surface Mount","44-LCC (J-Lead)","44-PLCC (16.59x16.59)"
"http://www.ti.com/lit/ds/symlink/pc16550d.pdf","http://media.digikey.com/Renders/Allegro%20Microsystems%20Renders/44-LCC%20(J-Lead).jpg","PC16550DV/NOPB-ND","PC16550DV/NOPB","Texas Instruments","IC UART WITH FIFO 44-PLCC",471,10000,"8.30906",500,1,"Tube","-","Modem Control Function","1, UART","16 Byte","-","4.5 V ~ 5.5 V","-","-","-","Yes","Yes","-","Surface Mount","44-LCC (J-Lead)","44-PLCC (16.58x16.58)"
"http://www.ti.com/lit/ds/symlink/ns16c552.pdf","http://media.digikey.com/Renders/Allegro%20Microsystems%20Renders/44-LCC%20(J-Lead).jpg","PC16552DV/NOPB-ND","PC16552DV/NOPB","Texas Instruments","IC UART DUAL WITH FIFO 44-PLCC",1286,10000,"10.09124",500,1,"Tube","-","False-start Bit Detection","2, DUART","16 Byte","-","5V","-","-","-","Yes","Yes","-","Surface Mount","44-LCC (J-Lead)","44-PLCC (16.58x16.58)"
"http://www.ti.com/lit/ds/symlink/tl16c554a.pdf","http://media.digikey.com/Renders/Cypress%20Semi%20Renders/68-PLCC.jpg","296-6587-5-ND","TL16C554AFN","Texas Instruments","IC QUAD UART W/FIFO 68-PLCC",480,0,"11.24162",500,1,"Tube","-","False-start Bit Detection","4, QUART","16 Byte","-","3.3V, 5V","-","Yes","-","Yes","Yes","-","Surface Mount","68-LCC (J-Lead)","68-PLCC (24.23x24.23)"
"http://www.nxp.com/documents/data_sheet/SC16C654B_654DB.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP.jpg","568-3278-ND","SC16C654BIBM,151","NXP Semiconductors","IC UART QUAD W/FIFO 64-LQFP",496,0,"10.69554",500,1,"Tray","-","False-start Bit Detection","4, QUART","64 Byte","-","2.5V, 3.3V, 5V","-","Yes","Yes","Yes","Yes","Yes","Surface Mount","64-LQFP","64-LQFP (7x7)"
